arxiv,date,cites,title,authors,flags,sources,doi,abstract_400
2602.03110,2026-02-03,,Evidence for deviation in gravitational light deflection from general relativity at cosmological scales with KiDS-Legacy and CMB lensing,Guo-Hong Du; Tian-Nuo Li; Tonghua Liu; Jing-Fei Zhang,,arxiv:idlist_status,,"General relativity (GR) faces challenges from cosmic acceleration and observational tensions, necessitating stringent tests at cosmological scales. In this work, we probe GR deviations via a $μ$--$Σ$ modified gravity parameterization, integrating KiDS-Legacy weak lensing (WL) data (1347 deg$^2$, $z\leq 2.0$), joint cosmic microwave background (CMB) data from Planck, ACT, and SPT, DESI DR2 baryon a"
2601.15201,2026-01-21,2,Effects of massive spin-2 fields on gravitational wave propagation,"Cembranos, Jose A.R.; Cendal, Álvaro; Villarrubia-Rojo, Hector",bimetric,arxiv:idlist_status;inspire:citing_1410.0207,10.1088/1475-7516/2026/06/008,"Massive spin-2 fields in addition to the standard massless graviton arise naturally in extensions of general relativity, such as massive bigravity or models with extra dimensions. This work explores the observational signatures of these fields on the propagation of gravitational waves. Adopting a phenomenological framework consistent with such theories, we derive an analytical transfer function in"
,2026,0,Aspects of scattering amplitudes in scalar effective field theories,"Li, Yang",scalar-coupled,inspire:citing_1308.1647,,"Quantum field theory provides a fundamental framework for describing interactions among elementary particles. Its central observables, scattering amplitudes, encode precise quantitative information about particle scattering processes. In this thesis, we investigate the scattering amplitudes of a class of scalar field theories, treating them as analytic functions and uncovering a range of nontrivia"
2512.19041,2025-12-22,2,Gravitational production of massive spin-2 particles during reheating,"Verner, Sarunas",,inspire:ft_genhiguchi,10.1103/3st2-jhx5,"We study the minimal gravitational portal for a massive spin-2 dark matter candidate <math display=""inline""><msub><mi>X</mi><mrow><mi>μ</mi><mi>ν</mi></mrow></msub></math> produced during perturbative reheating. The dark sector couples to the visible sector only via gravity, and we analyze two unavoidable channels: (i) inflaton condensate annihilation, <math display=""inline""><mi>ϕ</mi><mo>+</mo><m"
2512.15234,2025-12-17,,A bigravity model from noncommutative geometry,Marco de Cesare; Mairi Sakellariadou; Araceli Soler Oficial,"bimetric,ghost",arxiv:bimetric_recent,,"Noncommutative gravity, based on a twist-deformation of the differential geometry of spacetime and a first-order formulation of the dynamics, requires additional gravitational degrees of freedom as well as an enlargement of the gauge group of Lorentz transformations of the tetrad frame. As such, it offers a theoretical playground to build fundamentally motivated extensions to general relativity. T"
2512.09353,2025-12-10,,Bimetric MOND as a framework for variable-$G$ theories -- local systems and cosmology,Mordehai Milgrom,bimetric,arxiv:bimetric_recent,,"Bimetric MOND (BIMOND) is used as a platform for variable-$G$ theories that have MOND-specific idiosyncrasies. E.g., MOND premises dictate return to standard dynamics in the high-acceleration limit, predicting the standard value of $G$ for high-acceleration systems. This automatically ensures compliance of such theories with all the constraints on inconstancy of $G$ that emerge from the study of h"
2511.14055,2025-11-18,1,A non-local origin for massive gravity and late-time acceleration,"Mandal, Susobhan; Shankaranarayanan, S.","scalar-coupled,ghost",inspire:citing_1206.3852,10.1088/1361-6382/ae2059,"The accelerated expansion of the universe poses a significant challenge to General Relativity. Non-local modifications to gravity have emerged as a compelling class of theories to address this dark energy puzzle. Building upon earlier proposals, we investigate a specific non-local modified gravity action incorporating terms like $R\Box^{-2}R$, $R^{μν}\Box^{-2}R_{μν}$, $R^{μνσδ}\Box^{-2}R_{μνσδ}$ a"
2511.13562,2025-11-17,2,Bimodular gravity: vacuum evolution with a frame-dependent phantom crossing,"Hallam, James; Magueijo, João",scalar-coupled,inspire:t_bimetric_scalar,10.1088/1475-7516/2026/09/039,"Unimodular gravity recasts the cosmological constant as an integration constant, fixed by a constraint on the volume element rather than chosen in the action. We ask what becomes of this constant when matter couples not to the gravitational metric, but to a second metric disformally related to it through a scalar field. Imposing a volume constraint on each metric, we find a theory in which the sca"
2511.14811,2025-11-17,,Characterization of exotic matter in PT-symmetric wormholes,Hicham Zejli,bimetric,arxiv:bimetric_recent,,"In our previous work [H. Zejli, Int. J. Mod. Phys. D 34, 2550052 (2025), arXiv:2508.00035], we introduced a PT-symmetric wormhole model based on a bimetric geometry, capable of generating closed timelike curves (CTCs). In this paper, we extend the analysis to the null hypersurface at the throat of this modified Einstein-Rosen bridge, where two regular Eddington-Finkelstein metrics render the geome"
2511.11929,2025-11-14,,Symmetric Bimetric Cosmology: A Minimal Extension of ΛCDM,Ghani Imadouchene,"bimetric,scalar-coupled",arxiv:bimetric_recent;arxiv:idlist_2,,"We construct and analyze a symmetric bimetric cosmological model connecting Anti-de Sitter (AdS) and de Sitter (dS) regimes through a coupled scalar field. Starting from a Lagrangian with Einstein-Hilbert terms for two FLRW metrics and an inter-metric potential, we derive modified Friedmann and Klein-Gordon equations governing their evolution. In the symmetric effective-fluid limit, the model repr"
2511.10263,2025-11-13,4,Confronting dark energy in Harada's Conformal Killing Gravity with observational data,"Khodadi, Mohsen; Lambiase, Gaetano; Firouzjaee, Javad.T.",,inspire:citing_1308.1647,10.1016/j.jheap.2025.100512,"Based on a comprehensive analysis of recent observational data—a combination of DESI DR1, Planck CMB, and Pantheon+ SN Ia—this study critically evaluates the two dark energy (DE) proposals within Harada's Conformal Killing Gravity (CKG) model. The model at question predicts either a dominant phantom-type effective DE component with EoS <math altimg=""si1.svg""><mi>ω</mi><mo linebreak=""goodbreak"" lin"
2511.03707,2025-11-05,,Stellar Bounds on Light Spin-2 Particles in Bimetric Theories,Camilo García-Cely; Andreas Ringwald,bimetric,arxiv:bimetric_recent,,"Using the bimetric formalism, we compute the production and emission rates of light spin-2 particles in non-degenerate stellar interiors through photoproduction and bremsstrahlung processes, including the effects of plasma screening. By comparing the resulting energy-loss rates with observational limits on stellar cooling, we derive bounds on the coupling strength and mass of the spin-2 particle. "
,2025-10-01,0,"ON MASSIVE GRAVITONS, ATMOSPHERIC TURBULENCE, AND RATS. a holistic study of dark matter signals and backgrounds in atom interferometry","Carlton, John",varying,inspire:citing_1308.1647,,"Terrestrial long-baseline atom interferometers are proposed as exception-ally sensitive instruments capable of searching for ultra-light dark matter, gravitational waves, and other new fundamental physics. Coming online in the next decade, it is essential to maximise the utility of these experiments, ensuring that the signals and backgrounds they measure are well understood.We start with expanding"
2509.15055,2025-09-18,3,New formalism for perturbations of massive gravity theories around arbitrary background spacetimes,"Wood, Kieran",ghost,inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1410.0207;inspire:citing_1503.07436,10.1103/vspq-pkfy,"We develop a new technique for studying the perturbations of dRGT-type massive gravity theories around arbitrary background spacetimes. Built initially from the vielbein formulation of the theory, but switching back to the metric formulation afterward, our approach bypasses many of the complications that arise in previous metric formulation approaches to linearizing massive gravity around generic "
,2025-09-15,0,On the asymptotic global structure of duality frames in quantum gravity,"Ruiz García, Ignacio",,inspire:citing_1308.1647,,"En esta tesis investigamos la estructura asintótica global de los espacios de parámetros en teorías efectivas de campos consistentes con Gravedad Cuántica. Esto se hace en conexión con el programa del Swampland (en castellano la Ciénaga o el Pantano), y más precisamente con la Conjetura de la Distancia, estudiando la disposición global de las torres de estados ligeros y los marcos de dualidad a lo"
2509.04261,2025-09-04,4,Topological charge and black hole photon spheres in massive gravity,"Yerra, Pavan Kumar; Bhamidipati, Chandrasekhar",,inspire:citing_1308.1647,10.1088/1361-6382/ae5750,"In this paper, we investigate the existence and nature of the photon spheres (PS) in the background of four dimensional static and spherically symmetric black holes in the de Rham–Gabadadze–Tolley massive gravity theory. Apart from the known case of one PS, there are regions in the parameter space of massive gravity where either two or no PS’s exist outside the event horizon. Topological arguments"
2507.21542,2025-07-29,0,Stable Cosmology from Minimal Theory of Mass-Varying Massive Gravity,"Falah, Ahmad Khoirul; Latief, Andy Octavian; Alatas, Husin; Gunara, Bobby Eka","varying,scalar-coupled,ghost",arxiv:idlist_status;inspire:citing_1206.3852;inspire:ft_higuchi_varying,,"We study cosmological perturbations in the minimal theory of mass-varying massive gravity (MTMVMG), a constrained extension of mass-varying massive gravity that propagates only three physical degrees of freedom. We show that MTMVMG admits a stable cosmological solutions i.e. free from ghost, gradient, and tachyonic instabilities around the homogeneous and isotropic background. We further demonstra"
2507.11526,2025-07-15,3,Gravitational wave propagation in bigravity in the late universe,"Brizuela, David; de Cesare, Marco; Soler Oficial, Araceli","bimetric,ghost",arxiv:idlist_status;inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1407.4331;inspire:citing_1410.0207;inspire:ft_higuchi_bimetric_2016,10.1088/1475-7516/2026/01/048,"We carry out a detailed analytical investigation of the propagation of gravitational waves in ghost-free bimetric gravity in a late-time de Sitter epoch. In this regime, the dynamical equations for the massless and massive graviton modes can be decoupled and solved exactly. We provide uniform approximations for the modes in terms of elementary functions, which are valid on all scales and for all v"
2507.03743,2025-07-04,47,Bimetric gravity improves the fit to DESI BAO and eases the Hubble tension,"Högås, Marcus; Mörtsell, Edvard",bimetric,arxiv:bimetric_desi;arxiv:idlist_status;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:ft_higuchi_bimetric_2016,10.1103/zz5k-kzzk,"We investigate whether the latest combination of the dark energy spectroscopic instrument (DESI) Year 3 data release (DR2) baryon acoustic oscillation measurements, cosmic microwave background (CMB) data (Planck <math display=""inline""><mrow><mn>2018</mn><mo>+</mo><mi>ACT</mi></mrow></math>), and Type Ia supernovae (SNe Ia) compilations (Pantheon+, Union3, and DES Y5) favor a dynamical dark energy "
2507.02059,2025-07-02,1,Do Pulsar Timing Datasets Favor Massive Gravity?,"Choi, Chris; Kahniashvili, Tina",,inspire:citing_1407.4331,,"Several observational phenomena suggest that the standard model of cosmology and particle physics requires revision. To address this, we consider the extension of general relativity known as massive gravity (MG). In this Letter, we explore the imprints of MG on the propagation of gravitational waves (GWs): their modified dispersion relation and their additional (two vector and one scalar) polariza"
2506.24002,2025-06-30,0,Line-of-sight acceleration as a test of the Galactic Yukawa potential,"da Silva Barbosa, Felipe A.; Amendola, Luca; Rodrigues, Davi C.; Capuzzo-Dolcetta, Roberto",,inspire:citing_1407.4331,10.1016/j.dark.2025.102087,"We forecast the impact of direct radial acceleration measurements, based on two redshift measurements of the same target one decade apart, on constraining the Yukawa correction to the Newtonian potential in the Milky Way. The Galaxy’s matter distribution is modeled as the sum of a spherical bulge, a spherical dark matter halo, and two axially symmetric disks. Considering a sample of 165 Milky Way "
2505.03870,2025-05-06,11,Dynamical Dark Energy Emerges from Massive Gravity,"Smirnov, Juri",,inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1503.07436,,"In this work, we demonstrate that a dynamical dark energy component predicted by massive gravity gives rise to a distinctive evolution of the equation of state. This scenario is favoured over the standard $\Lambda$CDM model when confronted with the latest combined datasets from the Dark Energy Spectroscopic Instrument (DESI), the cosmic microwave background (CMB), and supernova observations. The m"
2503.19442,2025-03-25,,KiDS-Legacy: Consistency of cosmic shear measurements and joint cosmological constraints with external probes,Benjamin Stölzner; Angus H. Wright; Marika Asgari; Catherine Heymans,,arxiv:idlist_status,,"We present a cosmic shear consistency analysis of the final data release from the Kilo-Degree Survey (KiDS-Legacy). By adopting three tiers of consistency metrics, we compare cosmological constraints between subsets of the KiDS-Legacy dataset split by redshift, angular scale, galaxy colour and spatial region. We also review a range of two-point cosmic shear statistics. With the data passing all ou"
2503.16598,2025-03-20,6,Dynamically induced spin-2 mass in a Weyl-invariant framework,"Gialamas, Ioannis D.; Tamvakis, Kyriakos","bimetric,scalar-coupled,ghost",arxiv:bimetric_scalar;arxiv:idlist_2;inspire:citing_1407.4331;inspire:citing_1410.0207,10.1103/hwht-srsz,"We combine the ghost-free bimetric theory of gravity with the concept of local Weyl invariance, realized in the framework of Einstein-Cartan gravity. The gravitational sector, characterized by two independent metrics and two independent connections, is coupled to a scalar field that can in principle develop a nonvanishing expectation value through radiative corrections. The spectrum of the model, "
2502.01687,2025-02-02,0,Gravitational Waves beyond the Linear Approximation and Gravitational Wave Reflection,"Atanasov, Victor; Saxena, Avadh",,inspire:citing_1702.04490;inspire:citing_1711.04655,10.1007/s10773-025-05996-6,"We derive a relativistic field equation for the trace of the metric perturbation beyond the weak field approximation to the Einstein field equations. The dynamics is governed by a massive Klein-Gordon equation on curved space-time, where the effective mass of the field is associated with the material and the dark energy content via the cosmological term. We solve the equation in the case of a Schw"
2501.16984,2025-01-28,2,Dipolar perturbations of nonbidiagonal black holes in bigravity,"Brizuela, David; de Cesare, Marco; Soler Oficial, Araceli",bimetric,inspire:citing_1404.0008,10.1103/PhysRevD.111.084084,"In bimetric gravity, nonbidiagonal solutions describing a static, spherically symmetric, and asymptotically flat black hole are given by a pair of Schwarzschild geometries, one in each metric sector. The two geometries are linked by a nontrivial diffeomorphism, which can be fully determined analytically if the two geometries possess the same isometries. This exact solution depends on four free par"
2501.11939,2025-01-21,,Trace-free Einstein gravity as a constrained bigravity theory,Merced Montesinos; Diego Gonzalez,bimetric,arxiv:bimetric_recent,,"Trace-free Einstein gravity is a prominent alternative to general relativity, which has two versions: one in which the energy-momentum conservation is assumed a priori and another in which it is not. In the first version, the cosmological constant arises as an integration constant. We report two diffeomorphism-invariant actions for trace-free Einstein gravity in which the energy-momentum conservat"
2412.17191,2024-12-22,,Plebański-Demiański solutions in bigravity and Kerr-Schild double copy relations using an effective metric,Hugo García-Compeán; César I. Ramos,bimetric,arxiv:bimetric_recent,,"In this work a formalism for proportional generalized double Kerr-Schild ansatz in bigravity is considered, where both metrics are coupled to matter. We study time-dependent and stationary solutions in the framework of the Kerr-Schild classical double copy and obtain the classical Kerr-Schild for the double, single and zeroth copy equations. For the time-dependent case, we use AdS waves solutions "
2412.14749,2024-12-19,,New Modes for Vector Bosons in the Static Patch,Adel A. Rahman; Leonard Susskind,higuchi,arxiv:higuchi_all,,"We consider a massive vector Boson in a static patch of $D$-dimensional de Sitter space (dS$_D$). We argue that this field is controlled by an effective physical (squared) mass $μ_{\mathrm{v}}^2 = m_{\mathrm{v}}^2 + 2(D-1)\ell_{\mathrm{dS}}^{-2}$ which differs from the naive ""Lagrangian"" (squared) mass $m_{\mathrm{v}}^2$ that appears in the usual form of the Proca Lagrangian/action. In particular,"
2412.14282,2024-12-18,21,Massive graviton dark matter searches with long-baseline atom interferometers,"Blas, Diego; Carlton, John; McCabe, Christopher",,inspire:citing_1308.1647;inspire:ft_genhiguchi,10.1103/zxtk-bwnf,"Atom interferometers offer exceptional sensitivity to ultralight dark matter (ULDM) by precisely measuring effects on atomic systems. Previous studies have demonstrated their capability to detect scalar and vector ULDM candidates, yet their potential for probing spin-2 ULDM remains unexplored. In this work, we address this gap by investigating the sensitivity of atom interferometers to spin-2 ULDM"
2412.04644,2024-12-05,,A bimetric cosmological model based on Andrei Sakharov's twin universe approach,Petit Jean-Pierre; Margnat Florent; Zejli Hicham,bimetric,arxiv:bimetric_recent,,"The standard cosmological model, based on Cold Dark Matter and Dark Energy (ΛCDM), faces several challenges. Among these is the need to adjust the scenario to account for he presence of vast voids in the large-scale structure of the universe, as well as the early formation of the first stars and galaxies. Additionally, the observed matter-antimatter asymmetry in the universe remains an unresolved "
2411.12208,2024-11-19,,Extremal Maximal Entanglement,Wanchen Zhang; Yu Ning; Fei Shi; Xiande Zhang,higuchi,arxiv:higuchi_all,,"A pure multipartite quantum state is called absolutely maximally entangled if all reductions of no more than half of the parties are maximally mixed. However, an $n$-qubit absolutely maximally entangled state only exists when $n$ equals $2$, $3$, $5$, and $6$. A natural question arises when it does not exist: which $n$-qubit pure state has the largest number of maximally mixed $\lfloor n/2 \rfloor"
2411.12026,2024-11-18,,Modified Gravity Constraints from the Full Shape Modeling of Clustering Measurements from DESI 2024,M. Ishak; J. Pan; R. Calderon; K. Lodha,,arxiv:idlist_status,,"We present cosmological constraints on deviations from general relativity (GR) from the first-year of clustering observations from Dark Energy Spectroscopic Instrument (DESI) in combination with other datasets. We first consider $μ(a,k)$-$Σ(a,k)$ modified gravity (MG) parametrization (as well as $η(a,k)$) in flat $Λ$CDM and $w_0 w_a$CDM backgrounds. Using a functional form for time-only evolution "
2411.03459,2024-11-05,,Investigating the Origin of CMB Large-Scale Features Using LiteBIRD and CMB-S4,Catherine Petretti; Matteo Braglia; Xingang Chen; Dhiraj Kumar Hazra,,arxiv:idlist_status,,"Several missions following Planck are currently under development, which will provide high-precision measurements of the Cosmic Microwave Background (CMB) anisotropies. Specifically, measurements of the E modes will become nearly limited by cosmic variance, which, especially when considering the sharpness of the E-mode transfer functions, may allow for the ability to detect deviations from the con"
2411.01261,2024-11-02,9,Static spheres and Aschenbach effect for black holes in massive gravity,"Yerra, Pavan Kumar; Mukherji, Sudipta; Bhamidipati, Chandrasekhar",,inspire:citing_1308.1647,10.1103/lj4b-j3tr,"In this paper, we study the trajectories of massive and massless particles in four-dimensional static and spherically symmetric black holes in the de Rham–Gabadadze–Tolley massive gravity theory via phase-plane analysis and point out several novel features. In particular, we show the existence of a static sphere, a finite radial distance outside the black holes in these theories, where a massive p"
2410.13552,2024-10-17,0,Hairy black holes and other compact objects in theories of gravity,"Gervalle, Romain","bimetric,scalar-coupled",inspire:citing_1407.4331;inspire:citing_1410.0207,,"In the realm of spacetimes governed by Einstein's general relativity and containing only Maxwell's electromagnetic field, stationary black holes are fully characterized by their mass, electric or magnetic charge, and angular momentum -- a property encapsulated in a version of the no-hair theorem. However, the validity of this theorem is contingent on certain assumptions, and when these are relaxed"
2410.10976,2024-10-14,7,Black holes in multimetric gravity. II. Hairy solutions and linear stability of the non- and partially proportional branches,"Wood, Kieran; Saffin, Paul M.; Avgoustidis, Anastasios",ghost,inspire:citing_1404.0008,10.1103/PhysRevD.111.024057,"Owing to our work in part I of this series of papers, it is understood that the analytically known black hole solutions in the theory of ghost-free multimetric gravity can be split into three distinct classes and that one of these classes—the proportional branch—exhibits the Gregory-Laflamme instability at linear level in the metric perturbations, whenever the black hole horizon size is smaller th"
2410.09658,2024-10-12,5,Connecting inflation to the NANOGrav 15-year dataset via massive gravity,"Kenjale, Ved; Kahniashvili, Tina",,inspire:ft_higuchi_varying,10.1103/PhysRevD.111.103515,"Several pulsar timing array (PTA) missions have reported convincing evidence of a stochastic gravitational wave background within their latest datasets. This background could originate from an astrophysical source, though there are multiple possibilities for its origin to be cosmological. Focusing on the North American Nanohertz Observatory for Gravitational Waves (NANOGrav) signal, which was in g"
2409.08317,2024-09-12,21,Cosmology of light towers and swampland constraints,"Casas, Gonzalo F.; Ruiz, Ignacio",,inspire:citing_1308.1647,10.1007/JHEP12(2024)193,"We study the dynamical evolution of FLRW cosmologies in the presence of a tower of scalar light states and a runaway exponential potential. Some of the attractor solutions have problematic behaviours from the EFT point of view, which we use to argue for restrictions on the possible exponential scalings of the potential and tower characteristic mass as we move towards asymptotic regions in moduli s"
,2024-08-05,0,Cosmological gravitational particle production of dark matter during inflation and beyond,"Ling, Siyang",,inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1407.4331;inspire:citing_1410.0207,,"Cosmological gravitational particle production (CGPP) is a viable production mechanism for dark matter. Spin-0, spin-1/2, spin-3/2, spin-2 fields can be produced via CGPP during inflation and reheating, and the relics can be dark matter candidates. Chapter 1 of this thesis contains the framework of CGPP, which is based on quantum field theory in curved spacetime and inflationary cosmology. Chapter"
2407.13807,2024-07-18,,A Loop Quantum Gravity Inspired Action for the Bosonic String and Emergent Dimensions at Large Scales,Deepak Vaid; Luigi Teixeira de Sousa,bimetric,arxiv:bimetric_recent,,We propose a modification of the Nambu-Goto action for the bosonic string which is compatible with the existence of a minimum area at the Planck scale. The result is a phenomenological action based on the observation that LQG tells us that areas of two-surfaces are operators in quantum geometry and are bounded from below. This leads us to a string action which is similar to that of bimetric gravit
2407.07792,2024-07-10,1,Gravitational ringdown in the minimal theory of massive gravity,"Roussille, Hugo; Larrouturou, François",,inspire:citing_1711.04655;inspire:ft_higuchi_varying,10.1103/PhysRevD.110.064069,"This work focuses on gravitational perturbations of black holes in the self-accelerating branch of the minimal theory of massive gravity (MTMG). This theory is a healthy extension of general relativity (GR) which displays the feature of massive tensor modes, without additional polarizations, strong-coupling issues nor requiring screening mechanisms. We proceed by implementing a newly developed tec"
2407.04322,2024-07-05,57,2D BAO vs. 3D BAO: Solving the Hubble Tension with Bimetric Cosmology,"Dwivedi, Sowmaydeep; Högås, Marcus",bimetric,arxiv:bimetric_desi;arxiv:bimetric_recent;arxiv:idlist_2;inspire:citing_1308.1647;inspire:citing_1404.0008;inspire:citing_1503.07436;inspire:ft_higuchi_bimetric_2016,10.3390/universe10110406,"Ordinary 3D Baryon Acoustic Oscillations (BAO) data are model-dependent, requiring the assumption of a cosmological model to calculate comoving distances during data reduction. Throughout the present-day literature, the assumed model is CDM. However, it has been pointed out in several recent works that this assumption can be inadequate when analyzing alternative cosmologies, potentially biasing th"
2404.01846,2024-04-02,16,Testing Yukawa cosmology at the Milky Way and M31 galactic scales,"D'Agostino, Rocco; Jusufi, Kimet; Capozziello, Salvatore",,inspire:citing_1702.04490;inspire:citing_1711.04655,10.1140/epjc/s10052-024-12741-6,"We address the galaxy rotation curves through the Yukawa gravitational potential emerging as a correction of the Newtonian potential in extended theories of gravity. On the one hand, we consider the contribution of the galactic bulge, galactic disk, and the dark matter halo of the Navarro–Frenk–White profile, in the framework of the standard $\Lambda $CDM model. On the other hand, we use modified "
2402.17835,2024-02-27,14,Black holes in multimetric gravity,"Wood, Kieran; Saffin, Paul M.; Avgoustidis, Anastasios","bimetric,ghost",inspire:citing_1206.3852;inspire:citing_1308.1647;inspire:citing_1404.0008,10.1103/PhysRevD.109.124006,"We construct a wide class of black hole solutions to the general theory of ghost-free multimetric gravity in arbitrary spacetime dimension, extending and generalizing the known results in four-dimensional dRGT massive gravity and bigravity. The solutions are split into three generic classes based on whether the metrics can be simultaneously diagonalized—one of which does not exist in dRGT massive "
2402.16054,2024-02-25,1,Conformal structure of singularities in some varying fundamental constants bimetric cosmologies,"Marosek, Konrad; Balcerzak, Adam",bimetric,inspire:t_bimetric_scalar,10.1038/s41598-024-72794-1,"In this paper, we explore the conformal structure of singularities arising from varying fundamental constants using the method of Penrose diagrams. We employ a specific type of bimetric model featuring two different metrics. One metric describes the causal structure for matter, while the other characterizes the causal structure for gravitational interactions, which is related to variations in fund"
2402.15327,2024-02-23,2,Perturbations of bimetric gravity on most general spherically symmetric spacetimes,"Brizuela, David; de Cesare, Marco; Oficial, Araceli Soler",bimetric,inspire:citing_1308.1647;inspire:citing_1404.0008,10.1103/PhysRevD.109.124060,"We present a formalism to study linear perturbations of bimetric gravity on any spherically symmetric background, including dynamical spacetimes. The setup is based on the Gerlach-Sengupta formalism for general relativity. Each of the two background metrics is written as a warped product between a two-dimensional Lorentzian metric and the round metric of the two-sphere. The different perturbations"
